created_at,text,clean_text
2025-04-26 16:07:01+00:00,"@4Mischief The rest of the story:

https://t.co/xEYeKUqJSd",The rest of the story:
2025-04-26 16:06:39+00:00,@DaleVince All about climate change isn’t it Dale?  Only when you are getting backhanders from your politician mates….,All about climate change isnt it Dale? Only when you are getting backhanders from your politician mates.
2025-04-26 16:06:26+00:00,@FanJDVance Making low iq individuals believe in the climate change hoax,Making low iq individuals believe in the climate change hoax
2025-04-26 16:06:06+00:00,"@bastosventures @CeraGibson If you think I was calling you extremist, I wasn’t. I, too, have read plenty from both sides, and there are extremists on either end, from climate change deniers to ecological nihilists. I was simply encouraging you to look beyond those extremes and find a middle ground","If you think I was calling you extremist, I wasnt. I, too, have read plenty from both sides, and there are extremists on either end, from climate change deniers to ecological nihilists. I was simply encouraging you to look beyond those extremes and find a middle ground"
2025-04-26 16:06:03+00:00,"@AnthonyHutchins @ZeeCaptainRon @AmyMcGrathKY @SECNAV @SecDef You can't be that stupid right? Why are the loudest ""climate change"" trumpeters also the same ones that keep buying up beach front property?!?

Hey @grok, how much multimillion dollar beach front property does Bill Gates own?","You can't be that stupid right? Why are the loudest ""climate change"" trumpeters also the same ones that keep buying up beach front property?!? Hey , how much multimillion dollar beach front property does Bill Gates own?"
2025-04-26 16:05:55+00:00,"@Bulldog17Celti1 @Lauremari2 @woodifitweretru @Angry_Staffer Globalism means the dissolution of the Nation/State by using economic interdependence...This is to achieve world government or governance..

The West's Central Banks, WEF, IMF, UN, World Bank and CFR are some of the institutions.

Climate change is the fake emergency they use to","Globalism means the dissolution of the Nation/State by using economic interdependence...This is to achieve world government or governance.. The West's Central Banks, WEF, IMF, UN, World Bank and CFR are some of the institutions. Climate change is the fake emergency they use to"
2025-04-26 16:05:30+00:00,"@CTVNews Pope loved climate change. Pope loved migrants. 
Why is CTV making multiple stories about this?
Are you prepping us for more net zero and more illegal immigrants in Canada? And we are supposed to love it?",Pope loved climate change. Pope loved migrants. Why is CTV making multiple stories about this? Are you prepping us for more net zero and more illegal immigrants in Canada? And we are supposed to love it?
2025-04-26 16:05:30+00:00,"Climate change needs to be heard NOW I’m raising funds to purchase a Canon R5 camera to create powerful visual stories that inspire action. Your support could make all the difference. Let’s amplify our planet's voice together #ClimateAction 

Your retweet 
https://t.co/uWL7zCEZbR https://t.co/kFntuDTqFz",Climate change needs to be heard NOW Im raising funds to purchase a Canon R5 camera to create powerful visual stories that inspire action. Your support could make all the difference. Lets amplify our planet's voice together ClimateAction Your retweet
2025-04-26 16:05:25+00:00,Just came across a fascinating article about the impact of AI on climate change solutions Mind-blowing how technology can help us tackle such complex issues!,Just came across a fascinating article about the impact of AI on climate change solutions Mind-blowing how technology can help us tackle such complex issues!
2025-04-26 16:05:24+00:00,@LorenzoTberry @moment_mirthful @RepMTG Like climate change?????,Like climate change?????
2025-04-26 16:05:17+00:00,@SergitoCardoso @JDunlap1974 There is 0 climate change.,There is 0 climate change.
2025-04-26 16:05:17+00:00,"@iluminatibot For a guy whose smart enough to become a self-made billionaire, he evidently failed science in school. All this ""climate change or global warming"" is all blamed on one component of the atmosphere, CO2. It only comprises .04% of our atmosphere. I call BULLSHIT!","For a guy whose smart enough to become a self-made billionaire, he evidently failed science in school. All this ""climate change or global warming"" is all blamed on one component of the atmosphere, CO2. It only comprises .04% of our atmosphere. I call BULLSHIT!"
2025-04-26 16:05:13+00:00,"@catturd2 He didn’t get the memo, we know climate change/green new deal or whatever you’ve renamed it…is a scam! 
2030 agenda by globalist!","He didnt get the memo, we know climate change/green new deal or whatever youve renamed itis a scam! 2030 agenda by globalist!"
2025-04-26 16:04:58+00:00,"@vinnie43837169 @DapperDomo Racism, fascism, capitalism, poverty, pollution, genocide, slavery, climate change etc. Yes white ppl gave us all that trash.","Racism, fascism, capitalism, poverty, pollution, genocide, slavery, climate change etc. Yes white ppl gave us all that trash."
2025-04-26 16:04:55+00:00,"@kathyflett1 @ABDanielleSmith @PremierScottMoe #Referendum

Pros &amp; cons #ABSKseparation #AlbertaSeparation &amp; #51State

US has valid concerns: CCP fentanyl, openborders, crime, safesupply
@scoopercooper 

AB SK crushed by equalization, carbon tax, fake climate change, WEF, printing$

@ikwilson","Referendum Pros &amp; cons ABSKseparation AlbertaSeparation &amp; 51State US has valid concerns: CCP fentanyl, openborders, crime, safesupply AB SK crushed by equalization, carbon tax, fake climate change, WEF, printing$"
2025-04-26 16:04:45+00:00,@BrantfordBoomer @EdmontonOilers I like that name but perhaps the Edmonton Firewater would be good as it gives a nod to our native Indian population eh. Due to climate change the Flames should be known as the Calgary Mullets as an ode to the preferred hairstyle of the city.,I like that name but perhaps the Edmonton Firewater would be good as it gives a nod to our native Indian population eh. Due to climate change the Flames should be known as the Calgary Mullets as an ode to the preferred hairstyle of the city.
2025-04-26 16:04:25+00:00,"Rt @wef 
Wind, oil and aid: Everything to know about the #environment this week https://t.co/208REN1Q1F #ClimateChange https://t.co/EHbGIyAwEQ","Rt Wind, oil and aid: Everything to know about the environment this week ClimateChange"
